160,TheHacker'sGuidetoPython,JulienDanjou,-1,-1
159,TwoScoopsofDjango,DanielGreenfeld,-1,-1
153,HackingSecretCipherswithPython,AlSweigart,-1,-1
152,Python数据分析与挖掘实战,张良均,7.6,56
158,MachineLearning,StephenMarsland,8.1,19
157,LightweightDjango,JuliaElman,6.5,11
155,MakingGameswithPython&Pygame,AlSweigart,8.8,12
154,Python计算与编程实践,计算机科学丛书,7.2,23
151,GAE编程指南,DanSanderson,8.1,42
150,PythonPocketReference,[美]MarkLutz,8.2,17
147,PythonforEverybody,Dr.CharlesRussellSeverance,-1,-1
146,BeginningGameDevelopmentwithPythonandPygame,WillMcGugan,7.9,26
149,零基础学python图文版,王磊,6.9,12
148,PythonParallelProgrammingCookbook,GiancarloZaccone,-1,-1
145,DjangoDesignPatternsandBestPractices,ArunRavindran,-1,-1
144,贝叶斯方法,[加]CameronDavidson-Pilon,7.9,17
